MSOA21CD,n_oas,n_diff,disagree_pct
E02000903,28,4,14.285714285714285
E02000904,22,4,18.181818181818183
E02000905,25,6,24.0
E02000906,26,8,30.76923076923077
E02000907,31,3,9.67741935483871
E02000908,40,5,12.5
E02000909,25,3,12.0
E02000910,31,8,25.806451612903224
E02000911,36,6,16.666666666666664
E02000912,25,1,4.0
E02000913,24,4,16.666666666666664
E02000914,27,4,14.814814814814813
E02000915,25,7,28.000000000000004
E02000916,29,1,3.4482758620689653
E02000917,26,7,26.923076923076923
E02000918,28,6,21.428571428571427
E02000919,24,1,4.166666666666666
E02000920,29,3,10.344827586206897
E02000921,32,5,15.625
E02000922,31,5,16.129032258064516
E02000923,26,7,26.923076923076923
E02000925,25,2,8.0
E02000926,42,2,4.761904761904762
E02000927,24,6,25.0
E02000928,29,4,13.793103448275861
E02000929,25,0,0.0
E02000930,29,6,20.689655172413794
E02000931,26,6,23.076923076923077
E02000932,46,6,13.043478260869565
E02000933,28,3,10.714285714285714
E02000934,29,9,31.03448275862069
E02000935,19,0,0.0
E02000936,34,5,14.705882352941178
E02000937,24,6,25.0
E02000938,30,1,3.3333333333333335
E02000939,24,5,20.833333333333336
E02000940,31,5,16.129032258064516
E02000941,33,8,24.242424242424242
